dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
breast-cancer, 286, 9, ODRI_T, 1, 0.0034965034965034965, false, 0.3146853146853147, 0.668825530818859, 0.6750902527075813, 0.671646087468928, 0.5976513694006079, 95, 0.3321678321678322, 0.9615384615384616, 0.965034965034965, 2.472027972027972, 0.27466977466977466, 0.0034965034965034965
breast-cancer, 286, 9, ODRI_T, 1, 0.0034965034965034965, true, 0.3146853146853147, 0.679025982273093, 0.6853146853146853, 0.6818721092393976, 0.6131694468832309, 96, 0.3356643356643357, 0.9790209790209791, 1.0, 2.3146853146853146, 0.25718725718725716, 0.02097902097902098
breast-cancer, 286, 9, ODRI_T, 2, 0.006993006993006993, false, 0.3321678321678322, 0.6585614471105637, 0.6619217081850534, 0.6601689184359333, 0.5886613613948262, 77, 0.2692307692307692, 0.9545454545454546, 0.993006993006993, 2.888111888111888, 0.3209013209013209, 0.038461538461538464
breast-cancer, 286, 9, ODRI_T, 2, 0.006993006993006993, true, 0.33916083916083917, 0.6573013078470825, 0.6584507042253521, 0.6578682099865882, 0.5888756301343326, 78, 0.2727272727272727, 0.958041958041958, 1.0, 2.8566433566433567, 0.3174048174048174, 0.04195804195804196
breast-cancer, 286, 9, ODRI_T, 3, 0.01048951048951049, false, 0.35664335664335667, 0.6407769441274779, 0.6382978723404256, 0.6395075062101738, 0.5695371702189925, 66, 0.23076923076923078, 0.9090909090909091, 0.9965034965034965, 3.2797202797202796, 0.3644133644133644, 0.08741258741258741
breast-cancer, 286, 9, ODRI_T, 3, 0.01048951048951049, true, 0.36363636363636365, 0.6388315664004452, 0.6363636363636364, 0.6375687103594081, 0.5681592039800994, 67, 0.23426573426573427, 0.9125874125874126, 1.0, 3.2482517482517483, 0.3609168609168609, 0.08741258741258741
breast-cancer, 286, 9, ODRI_T, 4, 0.013986013986013986, false, 0.3181818181818182, 0.6808112509503207, 0.6773049645390071, 0.6789841721776448, 0.6173654049319527, 54, 0.1888111888111888, 0.9020979020979021, 0.993006993006993, 3.4160839160839163, 0.3795648795648796, 0.09090909090909091
breast-cancer, 286, 9, ODRI_T, 4, 0.013986013986013986, true, 0.32517482517482516, 0.6781627463445645, 0.6748251748251748, 0.676422147976757, 0.615891132572432, 55, 0.19230769230769232, 0.9055944055944056, 1.0, 3.3846153846153846, 0.37606837606837606, 0.0944055944055944
breast-cancer, 286, 9, ODRI_T, 5, 0.017482517482517484, false, 0.3706293706293706, 0.6242404978332502, 0.6267605633802817, 0.6254719986586185, 0.5495136166722312, 46, 0.16083916083916083, 0.8671328671328671, 0.993006993006993, 3.562937062937063, 0.3958818958818959, 0.1258741258741259
breast-cancer, 286, 9, ODRI_T, 5, 0.017482517482517484, true, 0.3706293706293706, 0.6268496771197228, 0.6293706293706294, 0.6280819015967529, 0.5529997073456249, 47, 0.16433566433566432, 0.8741258741258742, 1.0, 3.5, 0.3888888888888889, 0.1258741258741259
breast-cancer, 286, 9, ODRI_T, 6, 0.02097902097902098, false, 0.32167832167832167, 0.6632743334048878, 0.6702508960573477, 0.6664629554012975, 0.5925871381024458, 39, 0.13636363636363635, 0.8811188811188811, 0.986013986013986, 3.772727272727273, 0.4191919191919192, 0.1048951048951049
breast-cancer, 286, 9, ODRI_T, 6, 0.02097902097902098, true, 0.33916083916083917, 0.6528375470683163, 0.6608391608391608, 0.6564589205026002, 0.5821773485513608, 40, 0.13986013986013987, 0.8916083916083916, 1.0, 3.6783216783216783, 0.4087024087024087, 0.10839160839160839
breast-cancer, 286, 9, ODRI_T, 7, 0.024475524475524476, false, 0.3006993006993007, 0.6754398311048557, 0.684981684981685, 0.6796336896839409, 0.6040887996989841, 34, 0.11888111888111888, 0.8426573426573427, 1.0, 3.604895104895105, 0.40054390054390054, 0.15734265734265734
breast-cancer, 286, 9, ODRI_T, 7, 0.024475524475524476, true, 0.32167832167832167, 0.6635000767329624, 0.6783216783216783, 0.6693002510310203, 0.5912203687445128, 34, 0.11888111888111888, 0.8426573426573427, 1.0, 3.604895104895105, 0.40054390054390054, 0.15734265734265734
breast-cancer, 286, 9, ODRI_T, 8, 0.027972027972027972, false, 0.32517482517482516, 0.6501583759985656, 0.6593406593406593, 0.6543418882268982, 0.5764914921192357, 30, 0.1048951048951049, 0.8006993006993007, 0.9825174825174825, 3.762237762237762, 0.418026418026418, 0.18181818181818182
breast-cancer, 286, 9, ODRI_T, 8, 0.027972027972027972, true, 0.36013986013986016, 0.6337348937470297, 0.6398601398601399, 0.6366156366156366, 0.560462393912789, 31, 0.10839160839160839, 0.8111888111888111, 1.0, 3.667832167832168, 0.4075369075369075, 0.1888111888111888
breast-cancer, 286, 9, ODRI_T, 9, 0.03146853146853147, false, 0.3531468531468531, 0.6393338802384649, 0.6353790613718412, 0.6372878038409393, 0.5667302688088544, 27, 0.0944055944055944, 0.8251748251748252, 0.9790209790209791, 3.7412587412587412, 0.4156954156954157, 0.15384615384615385
breast-cancer, 286, 9, ODRI_T, 9, 0.03146853146853147, true, 0.3706293706293706, 0.6343929269840408, 0.6293706293706294, 0.6317682779301217, 0.56318407960199, 28, 0.0979020979020979, 0.8391608391608392, 1.0, 3.6153846153846154, 0.4017094017094017, 0.16083916083916083
breast-cancer, 286, 9, ODRI_T, 10, 0.03496503496503497, false, 0.36013986013986016, 0.6287367596166994, 0.6373239436619719, 0.6326706585037758, 0.5535815124872736, 24, 0.08391608391608392, 0.8041958041958042, 0.993006993006993, 3.6713286713286712, 0.40792540792540793, 0.1888111888111888
