dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 44, 0.0704, true, 0.2592, 0.6850539085226218, 0.7408, 0.7116718777657175, 0.7608751648532806, 12, 0.0192, 0.7616, 1.0, 2.5216, 0.6304, 0.2384
balance-scale, 625, 4, ODRI_T, 45, 0.072, false, 0.256, 0.6741980472640081, 0.7328881469115192, 0.7022197427925682, 0.7413408509456634, 11, 0.0176, 0.7296, 0.9488, 2.6496, 0.6624, 0.2192
balance-scale, 625, 4, ODRI_T, 45, 0.072, true, 0.2768, 0.6718657342657344, 0.7232, 0.6965811543624161, 0.7464015619848334, 12, 0.0192, 0.7616, 1.0, 2.5216, 0.6304, 0.2384
balance-scale, 625, 4, ODRI_T, 46, 0.0736, false, 0.2576, 0.6786941001811339, 0.7334437086092715, 0.7041482642407675, 0.744918701267296, 9, 0.0144, 0.7456, 0.9648, 2.3152, 0.5788, 0.2192
balance-scale, 625, 4, ODRI_T, 46, 0.0736, true, 0.2784, 0.6719068195130115, 0.7216, 0.6955364975450082, 0.7455335064292778, 10, 0.016, 0.7664, 1.0, 2.232, 0.558, 0.2336
balance-scale, 625, 4, ODRI_T, 47, 0.0752, false, 0.2544, 0.6820740932920193, 0.7358803986710963, 0.7062998857303036, 0.7462292636069678, 9, 0.0144, 0.7456, 0.9648, 2.3152, 0.5788, 0.2192
balance-scale, 625, 4, ODRI_T, 47, 0.0752, true, 0.2768, 0.6717641670483409, 0.7232, 0.6959153903761247, 0.7457859380151666, 10, 0.016, 0.7664, 1.0, 2.232, 0.558, 0.2336
balance-scale, 625, 4, ODRI_T, 48, 0.0768, false, 0.2496, 0.682171369124351, 0.7378151260504202, 0.7087585098125382, 0.7452809449694814, 9, 0.0144, 0.7456, 0.9648, 2.3152, 0.5788, 0.2192
balance-scale, 625, 4, ODRI_T, 48, 0.0768, true, 0.2752, 0.6690388255960881, 0.7248, 0.6958022527840355, 0.745422745631388, 10, 0.016, 0.7664, 1.0, 2.232, 0.558, 0.2336
balance-scale, 625, 4, ODRI_T, 49, 0.0784, false, 0.2608, 0.6674830609314999, 0.7227891156462585, 0.6940164215883141, 0.7291132312841062, 9, 0.0144, 0.7408, 0.9696, 2.3968, 0.5992, 0.2288
balance-scale, 625, 4, ODRI_T, 49, 0.0784, true, 0.288, 0.656187240666025, 0.712, 0.6829513020038935, 0.7329376854599406, 10, 0.016, 0.7568, 1.0, 2.3328, 0.5832, 0.2432
balance-scale, 625, 4, ODRI_T, 50, 0.08, false, 0.2608, 0.6669575224901876, 0.7223168654173765, 0.6935140466418096, 0.7282577620057842, 9, 0.0144, 0.7408, 0.9696, 2.3968, 0.5992, 0.2288
balance-scale, 625, 4, ODRI_T, 50, 0.08, true, 0.288, 0.656187240666025, 0.712, 0.6829513020038935, 0.7329376854599406, 10, 0.016, 0.7568, 1.0, 2.3328, 0.5832, 0.2432
balance-scale, 625, 4, ODRI_T, 51, 0.0816, false, 0.2688, 0.6605796707874808, 0.7162162162162162, 0.6872264836010388, 0.7245250164853281, 9, 0.0144, 0.7408, 0.9696, 2.3968, 0.5992, 0.2288
balance-scale, 625, 4, ODRI_T, 51, 0.0816, true, 0.2912, 0.6532341115753256, 0.7088, 0.6798831813643926, 0.7299703264094954, 10, 0.016, 0.7568, 1.0, 2.3328, 0.5832, 0.2432
balance-scale, 625, 4, ODRI_T, 52, 0.0832, false, 0.2544, 0.6755298784443429, 0.7295918367346939, 0.701217150196742, 0.7354574541859276, 9, 0.0144, 0.7504, 0.9792, 2.296, 0.574, 0.2288
balance-scale, 625, 4, ODRI_T, 52, 0.0832, true, 0.2912, 0.6532624800294948, 0.7088, 0.679877693101268, 0.7299703264094956, 10, 0.016, 0.7584, 1.0, 2.264, 0.566, 0.2416
balance-scale, 625, 4, ODRI_T, 53, 0.0848, false, 0.272, 0.6607084931935884, 0.7157190635451506, 0.6871054924421691, 0.7265800139380967, 9, 0.0144, 0.7504, 0.9792, 2.296, 0.574, 0.2288
balance-scale, 625, 4, ODRI_T, 53, 0.0848, true, 0.2928, 0.6519148810621428, 0.7072, 0.6783597423992811, 0.728486646884273, 10, 0.016, 0.7584, 1.0, 2.264, 0.566, 0.2416
balance-scale, 625, 4, ODRI_T, 54, 0.0864, false, 0.2512, 0.6814242643950759, 0.739202657807309, 0.7089282237872482, 0.7488142270571883, 8, 0.0128, 0.7216, 0.9168, 2.504, 0.626, 0.1952
balance-scale, 625, 4, ODRI_T, 54, 0.0864, true, 0.2656, 0.676752786885246, 0.7344, 0.7042976479985799, 0.7537091988130563, 9, 0.0144, 0.7568, 1.0, 2.3632, 0.5908, 0.2432
balance-scale, 625, 4, ODRI_T, 55, 0.088, false, 0.256, 0.6735199853200182, 0.730185497470489, 0.7007079997633572, 0.7373925378314649, 8, 0.0128, 0.7216, 0.9168, 2.504, 0.626, 0.1952
balance-scale, 625, 4, ODRI_T, 55, 0.088, true, 0.2752, 0.6683252459016393, 0.7248, 0.695317937339132, 0.744807121661721, 9, 0.0144, 0.7568, 1.0, 2.3632, 0.5908, 0.2432
balance-scale, 625, 4, ODRI_T, 56, 0.0896, false, 0.2368, 0.6917240044083043, 0.7487266553480475, 0.7188157405557712, 0.7521367427174874, 8, 0.0128, 0.7216, 0.9168, 2.504, 0.626, 0.1952
balance-scale, 625, 4, ODRI_T, 56, 0.0896, true, 0.2688, 0.6738399000552973, 0.7312, 0.7013450679149633, 0.7507418397626113, 9, 0.0144, 0.7568, 1.0, 2.3632, 0.5908, 0.2432
balance-scale, 625, 4, ODRI_T, 57, 0.0912, false, 0.2032, 0.7191555964984113, 0.779896013864818, 0.7481543766479927, 0.7733028290480053, 8, 0.0128, 0.696, 0.9552, 2.4736, 0.6184, 0.2592
balance-scale, 625, 4, ODRI_T, 57, 0.0912, true, 0.2304, 0.7092193207423491, 0.7696, 0.7381387764157747, 0.7863501483679526, 9, 0.0144, 0.7264, 1.0, 2.352, 0.588, 0.2736
balance-scale, 625, 4, ODRI_T, 58, 0.0928, false, 0.2032, 0.7084807567263555, 0.7686703096539163, 0.7373443690797888, 0.750791535970145, 8, 0.0128, 0.7168, 0.9584, 2.4368, 0.6092, 0.2416
