dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
arrhythmia, 452, 279, ODRI_T, 1, 0.0022123893805309734, false, 0.4446902654867257, 0.5658316609644043, 0.5553097345132744, 0.5582676641040318, 0.6782824290308714, 210, 0.4646017699115044, 0.995575221238938, 1.0, 4.378318584070796, 0.015692898150791383, 0.004424778761061947
arrhythmia, 452, 279, ODRI_T, 1, 0.0022123893805309734, true, 0.4446902654867257, 0.5658316609644043, 0.5553097345132744, 0.5582676641040318, 0.6782824290308714, 210, 0.4646017699115044, 0.995575221238938, 1.0, 4.378318584070796, 0.015692898150791383, 0.004424778761061947
arrhythmia, 452, 279, ODRI_T, 2, 0.004424778761061947, false, 0.35176991150442477, 0.6029688386413152, 0.6466666666666666, 0.6212146738485054, 0.7184783357247816, 133, 0.2942477876106195, 0.9026548672566371, 0.9977876106194691, 32.19469026548673, 0.11539315507342914, 0.09513274336283185
arrhythmia, 452, 279, ODRI_T, 2, 0.004424778761061947, true, 0.35398230088495575, 0.6025234442778999, 0.6452328159645233, 0.6203074919686736, 0.7185014406125471, 134, 0.29646017699115046, 0.9048672566371682, 1.0, 31.577433628318584, 0.11318076569289814, 0.09513274336283185
arrhythmia, 452, 279, ODRI_T, 3, 0.00663716814159292, false, 0.34292035398230086, 0.6394626088760786, 0.6555555555555556, 0.6426544983160699, 0.7290371682102424, 101, 0.2234513274336283, 0.8893805309734514, 0.995575221238938, 36.61283185840708, 0.13122878802296442, 0.10619469026548672
arrhythmia, 452, 279, ODRI_T, 3, 0.00663716814159292, true, 0.3473451327433628, 0.6369288811025452, 0.6526548672566371, 0.640454660377253, 0.7288972005147722, 102, 0.22566371681415928, 0.8915929203539823, 1.0, 35.99557522123894, 0.12901639864243347, 0.1084070796460177
arrhythmia, 452, 279, ODRI_T, 4, 0.008849557522123894, false, 0.334070796460177, 0.6284460370591147, 0.665929203539823, 0.6432980360853738, 0.7361803638796154, 77, 0.17035398230088494, 0.838495575221239, 0.995575221238938, 50.993362831858406, 0.18277190979160718, 0.1570796460176991
arrhythmia, 452, 279, ODRI_T, 4, 0.008849557522123894, true, 0.334070796460177, 0.6284460370591147, 0.665929203539823, 0.6432980360853738, 0.7361803638796154, 78, 0.17256637168141592, 0.8407079646017699, 1.0, 50.376106194690266, 0.18055952041107623, 0.1592920353982301
arrhythmia, 452, 279, ODRI_T, 5, 0.011061946902654867, false, 0.3230088495575221, 0.6242914285929557, 0.6769911504424779, 0.6472434858263922, 0.7418167565256446, 67, 0.14823008849557523, 0.838495575221239, 0.9933628318584071, 52.073008849557525, 0.18664160877977606, 0.15486725663716813
arrhythmia, 452, 279, ODRI_T, 5, 0.011061946902654867, true, 0.3230088495575221, 0.6242914285929557, 0.6769911504424779, 0.6472434858263922, 0.7418167565256446, 68, 0.1504424778761062, 0.8407079646017699, 1.0, 51.45575221238938, 0.1844292193992451, 0.1592920353982301
arrhythmia, 452, 279, ODRI_T, 6, 0.01327433628318584, false, 0.3053097345132743, 0.6469019284130405, 0.6912751677852349, 0.6628787479281691, 0.7442481827384456, 57, 0.1261061946902655, 0.8252212389380531, 0.9889380530973452, 56.639380530973455, 0.20300853236908048, 0.16371681415929204
arrhythmia, 452, 279, ODRI_T, 6, 0.01327433628318584, true, 0.3141592920353982, 0.6418901100213279, 0.6858407079646017, 0.6585600745422775, 0.7444799136899172, 58, 0.12831858407079647, 0.8296460176991151, 1.0, 55.40486725663717, 0.19858375360801853, 0.17035398230088494
arrhythmia, 452, 279, ODRI_T, 7, 0.015486725663716814, false, 0.3230088495575221, 0.6227809122403184, 0.6741071428571429, 0.6446231225379886, 0.7380325107618784, 50, 0.11061946902654868, 0.8008849557522124, 0.9933628318584071, 61.336283185840706, 0.21984330890982332, 0.19247787610619468
arrhythmia, 452, 279, ODRI_T, 7, 0.015486725663716814, true, 0.32964601769911506, 0.6186206550151527, 0.6703539823008849, 0.6408765642361746, 0.7378423329209391, 51, 0.11283185840707964, 0.8030973451327433, 1.0, 60.719026548672566, 0.21763091952929237, 0.19690265486725664
arrhythmia, 452, 279, ODRI_T, 8, 0.017699115044247787, false, 0.3163716814159292, 0.6247340513665532, 0.6815144766146993, 0.6498468125287996, 0.7404358166760328, 44, 0.09734513274336283, 0.8075221238938053, 0.9911504424778761, 67.60176991150442, 0.2423002505788689, 0.1836283185840708
arrhythmia, 452, 279, ODRI_T, 8, 0.017699115044247787, true, 0.32079646017699115, 0.6242710475125233, 0.6792035398230089, 0.6487532661449964, 0.7415844881175652, 45, 0.09955752212389381, 0.8097345132743363, 1.0, 66.98451327433628, 0.24008786119833792, 0.1902654867256637
arrhythmia, 452, 279, ODRI_T, 9, 0.01991150442477876, false, 0.29646017699115046, 0.6391835600470467, 0.6995515695067265, 0.6638015532221373, 0.7491021890760803, 37, 0.08185840707964602, 0.8097345132743363, 0.9933628318584071, 60.06858407079646, 0.21529958448314143, 0.1836283185840708
arrhythmia, 452, 279, ODRI_T, 9, 0.01991150442477876, true, 0.30973451327433627, 0.6368117464914744, 0.6902654867256637, 0.6583403105847213, 0.747550653894265, 38, 0.084070796460177, 0.8119469026548672, 1.0, 59.45132743362832, 0.21308719510261048, 0.18805309734513273
