dataset, numInstances, numAttributes, attEvalMethod, pasMethod, evalSupport, evalConfidence, numAttributesToSelect, entropy, huffman, cutoffThreshold, variablesThreshold, classifier, support, confidence, l2ResampleSizeRatio, l2ClassRatio, l2ClassRepeat, experimentID, l2ClassExperimentIteration, errorRate, errorRateVariance, precision, precisionVariance, recall, recallVariance, fMeasure, fMeasureVariance, weightedAreaUnderROC, weightedAreaUnderROCVariance, areaUnderROC0, areaUnderROC0Variance, areaUnderROC1, areaUnderROC1Variance, minOcc, addDefaultRule, minOccPercent, numGeneratedRules, numGeneratedRulesPercent, expectedRuleLength, averageRuleLength, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPercent
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 14, false, 0.5833333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 14, true, 0.5833333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 15, false, 0.625, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 15, true, 0.625, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 16, false, 0.6666666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 16, true, 0.6666666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 17, false, 0.7083333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 17, true, 0.7083333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 18, false, 0.75, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 18, true, 0.75, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 19, false, 0.7916666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 19, true, 0.7916666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 20, false, 0.8333333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 20, true, 0.8333333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 21, false, 0.875, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 21, true, 0.875, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 22, false, 0.9166666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 22, true, 0.9166666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 23, false, 0.9583333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 23, true, 0.9583333333333334, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
