dataset, numInstances, numAttributes, classifier, minOcc, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
contact-lenses, 24, 4, ODRI_T, 1, false, 0.25, 0.7291666666666666, 0.75, 0.737012987012987, 0.7570175438596491, 7, 0.2916666666666667, 1.0, 1.0, 1.25, 0.3125, 0.0
contact-lenses, 24, 4, ODRI_T, 1, true, 0.25, 0.7291666666666666, 0.75, 0.737012987012987, 0.7570175438596491, 7, 0.2916666666666667, 1.0, 1.0, 1.25, 0.3125, 0.0
contact-lenses, 24, 4, ODRI_T, 2, false, 0.16666666666666666, 0.8121212121212121, 0.8181818181818182, 0.810966810966811, 0.7926900584795322, 6, 0.25, 0.9583333333333334, 1.0, 1.375, 0.34375, 0.041666666666666664
contact-lenses, 24, 4, ODRI_T, 2, true, 0.20833333333333334, 0.7926587301587301, 0.7916666666666666, 0.7899686520376177, 0.8125730994152046, 6, 0.25, 0.9583333333333334, 1.0, 1.375, 0.34375, 0.041666666666666664
contact-lenses, 24, 4, ODRI_T, 3, false, 0.08333333333333333, 0.8999999999999999, 0.8888888888888888, 0.8908641975308643, 0.8929824561403509, 5, 0.20833333333333334, 0.9166666666666666, 1.0, 1.5, 0.375, 0.08333333333333333
contact-lenses, 24, 4, ODRI_T, 3, true, 0.16666666666666666, 0.8869047619047619, 0.8333333333333334, 0.8434343434343434, 0.8986842105263158, 5, 0.20833333333333334, 0.9166666666666666, 1.0, 1.5, 0.375, 0.08333333333333333
contact-lenses, 24, 4, ODRI_T, 4, false, 0.125, 0.9097222222222223, 0.875, 0.8782828282828282, 0.9236842105263158, 3, 0.125, 0.875, 1.0, 1.75, 0.4375, 0.125
contact-lenses, 24, 4, ODRI_T, 4, true, 0.125, 0.9097222222222223, 0.875, 0.8782828282828282, 0.9236842105263158, 3, 0.125, 0.875, 1.0, 1.75, 0.4375, 0.125
contact-lenses, 24, 4, ODRI_T, 5, false, 0.125, 0.9097222222222223, 0.875, 0.8782828282828282, 0.9236842105263158, 3, 0.125, 0.875, 1.0, 1.5833333333333333, 0.3958333333333333, 0.125
contact-lenses, 24, 4, ODRI_T, 5, true, 0.125, 0.9097222222222223, 0.875, 0.8782828282828282, 0.9236842105263158, 3, 0.125, 0.875, 1.0, 1.5833333333333333, 0.3958333333333333, 0.125
contact-lenses, 24, 4, ODRI_T, 6, false, 0.20833333333333334, 0.75625, 0.75, 0.7279720279720279, 0.8052631578947368, 3, 0.125, 0.875, 1.0, 1.375, 0.34375, 0.125
contact-lenses, 24, 4, ODRI_T, 6, true, 0.2916666666666667, 0.7731481481481483, 0.7083333333333334, 0.7222222222222223, 0.8184210526315789, 3, 0.125, 0.875, 1.0, 1.375, 0.34375, 0.125
contact-lenses, 24, 4, ODRI_T, 7, false, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 7, true, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 8, false, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 8, true, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 9, false, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 9, true, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 10, false, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 10, true, 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986, 0.8157894736842105, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 11, false, 0.041666666666666664, 0.9583333333333334, 0.9166666666666666, 0.9285714285714285, 0.8116959064327487, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 11, true, 0.375, 0.6994047619047619, 0.625, 0.6096491228070176, 0.7631578947368421, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 12, false, 0.0, NaN, NaN, NaN, NaN, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 12, true, 0.2916666666666667, 0.5818181818181818, 0.5333333333333333, 0.5565217391304348, 0.5659649122807017, 2, 0.08333333333333333, 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, ODRI_T, 13, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 13, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 14, false, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
contact-lenses, 24, 4, ODRI_T, 14, true, 0.0, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0
